product_id,name,net_weight_g,price,serving_g,kcal,protein_g,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,carb_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,potassium_mg,vitamin_d_mcg,calcium_mg,iron_mg
11,Baby Back Pork Ribs - 3.02-4.02 lbs - price per lb - Good & Gather™,1823.4,14.03,140.0,207.1429,13.5714,9.2857,3.5714,0.0,50.0,16.4286,0.0,14.2857,,364.2857,,,14.0,1.0286
12,Banza Gluten Free Brown Rice Spaghetti Pasta - 10oz,283.5,2.99,56.7,352.7337,10.582,1.7637,0.0,0.0,0.0,74.0741,7.0547,0.0,0.0,0.0,370.3704,0.0,17.6367,2.2928
13,Banza Gluten Free Chickpea Penne - 8oz,226.8,2.99,99.2,342.7419,20.1613,5.0403,0.504,0.0,0.0,55.4435,20.1613,2.0161,0.0,20.1613,967.7419,0.0,90.7258,4.7379
14,Banza Gluten Free Chickpea Rotini - 8oz,226.8,2.99,56.7,599.6473,35.2734,8.8183,0.8818,0.0,0.0,105.8201,14.1093,3.5273,0.0,35.2734,1675.485,0.0,158.7302,8.2892
15,Barilla Elbow Macaroni Pasta - 16oz,453.6,2.29,56.0,357.1429,12.5,1.7857,0.0,0.0,0.0,75.0,5.3571,1.7857,,0.0,210.7143,0.0,21.4286,3.5714
16,Barilla Gluten Free Penne Pasta - 12oz,340.2,3.79,56.7,352.7337,7.0547,1.7637,0.0,0.0,0.0,79.3651,3.5273,0.0,0.0,0.0,125.2205,0.0,7.0547,0.0
17,Barilla Gluten Free Spaghetti Pasta - 12oz,340.2,3.79,56.7,352.7337,7.0547,1.7637,0.0,0.0,0.0,79.3651,3.5273,0.0,0.0,0.0,125.2205,0.0,7.0547,0.0
18,Barilla Penne Pasta - 16oz,453.6,2.29,56.7,352.7337,12.3457,1.7637,0.0,0.0,0.0,74.0741,5.291,1.7637,,0.0,208.1129,0.0,21.164,3.5273
19,Barilla Protein+ Penne Pasta - 14.5oz,411.1,3.99,56.0,339.2857,17.8571,1.7857,0.0,0.0,0.0,67.8571,8.9286,3.5714,,0.0,466.0714,0.0,28.5714,3.5714
20,Barilla Protein+ Spaghetti Pasta - 14.5oz,411.1,3.99,99.2,342.7419,17.1371,2.0161,0.504,0.0,0.0,68.5484,10.0806,3.0242,,0.0,470.7661,0.0,28.2258,3.0242
21,Barilla Ready Pasta Rotini - 7oz,198.4,2.59,198.0,156.5657,6.0606,1.2626,0.5051,0.0,0.0,34.3434,4.0404,0.5051,0.0,181.8182,32.8283,0.0,11.1111,1.0101
22,Barilla Rigatoni Pasta - 16oz,453.6,2.29,56.0,357.1429,12.5,1.7857,0.0,0.0,0.0,75.0,5.3571,1.7857,,0.0,210.7143,0.0,21.4286,3.5714
23,Barilla Rotini Pasta - 16oz,453.6,2.29,56.0,357.1429,12.5,1.7857,0.0,0.0,0.0,75.0,5.3571,1.7857,,0.0,210.7143,0.0,21.4286,3.5714
24,Barilla Spaghetti Pasta - 16oz,453.6,2.29,56.0,357.1429,12.5,1.7857,0.0,0.0,0.0,75.0,5.3571,1.7857,,0.0,210.7143,0.0,21.4286,3.5714
25,Barilla Wavy Lasagna Pasta - 16oz,453.6,3.19,50.0,340.0,14.0,2.0,0.0,0.0,0.0,74.0,6.0,2.0,,0.0,210.0,0.0,22.0,2.0
26,Black Beans - 15.5oz - Good & Gather™,439.4,1.19,130.0,84.6154,5.3846,0.0,0.0,0.0,0.0,15.3846,3.8462,0.7692,0.0,307.6923,376.9231,0.0,46.1538,1.5385
27,Blended Spinach and Kale Frozen Smoothie Booster Cubes - 10oz - Good & Gather™,283.5,5.49,57.0,26.3158,3.5088,0.8772,0.0,0.0,0.0,3.5088,1.7544,1.7544,0.0,78.9474,403.5088,0.0,122.807,1.5789
29,Brami Italian Protein Pasta Curly Macaroni - 12oz,340.2,3.19,56.0,357.1429,21.4286,3.5714,0.0,0.0,0.0,64.2857,8.9286,1.7857,0.0,35.7143,500.0,0.0,35.7143,1.7857
30,Brami Italian Protein Pasta Fusilli - 12oz,340.2,3.19,56.7,617.284,37.037,7.0547,0.0,0.0,0.0,109.3474,15.873,1.7637,0.0,61.7284,864.1975,0.0,52.9101,3.5273
31,Brami Italian Protein Radiatori Pasta - 12oz,340.2,3.19,99.2,352.8226,21.1694,4.0323,0.0,0.0,0.0,62.5,9.0726,1.0081,0.0,35.2823,493.9516,0.0,30.2419,2.0161
32,Brioche Loaf - 17.64oz - Favorite Day™,500.1,10.99,33.0,333.3333,9.0909,9.0909,3.0303,0.0,45.4545,54.5455,3.0303,12.1212,12.1212,454.5455,121.2121,0.0,30.303,0.0
33,Buffalo-Style Chicken Breast Strips - Frozen - 26oz - Good & Gather™,737.1,9.59,85.0,211.7647,12.9412,9.4118,2.3529,0.0,41.1765,18.8235,1.1765,1.1765,0.0,894.1176,141.1765,0.0,0.0,0.0
34,Canyon Bakehouse Gluten Free Mountain White Bread - 18oz,510.3,8.79,34.0,235.2941,5.8824,5.8824,0.0,0.0,29.4118,47.0588,2.9412,8.8235,8.8235,397.0588,235.2941,1.4706,29.4118,1.4706
35,Chickpeas Garbanzo Beans - 15.5oz - Good & Gather™,439.4,1.19,125.5,95.6175,5.5777,1.5936,0.0,0.0,0.0,15.9363,3.1873,2.3904,0.0,111.5538,183.2669,0.0,15.9363,1.1155
36,Chobani Plain Greek Yogurt - 20g Protein 32oz,20.0,10.29,4.0,3500.0,500.0,75.0,50.0,0.0,500.0,200.0,25.0,175.0,0.0,1750.0,6500.0,0.0,5000.0,7.5
37,Chobani Plain Nonfat Greek Yogurt - 16g Protein 32oz,16.0,7.39,3.2,2812.5,500.0,0.0,0.0,0.0,312.5,187.5,0.0,187.5,0.0,2031.25,7812.5,0.0,5937.5,6.25
38,Chobani Vanilla Blended Nonfat Greek Yogurt - 14g Protein 32oz,14.0,7.39,2.8,4642.8571,500.0,0.0,0.0,0.0,357.1429,607.1429,0.0,571.4286,392.8571,2142.8571,7857.1429,0.0,6071.4286,7.1429
39,Chobani Whole Milk Plain Greek Yogurt - 15g Protein 32oz,15.0,7.39,3.0,5666.6667,500.0,300.0,166.6667,0.0,1166.6667,233.3333,33.3333,200.0,0.0,2000.0,7666.6667,0.0,5666.6667,6.6667
40,Chobani Zero Sugar Vanilla Nonfat Greek Yogurt - 13g Protein 32oz,13.0,8.99,170.0,41.1765,7.6471,0.0,0.0,0.0,5.8824,3.5294,0.5882,0.0,0.0,41.1765,35.2941,0.0,105.8824,0.0
41,Chunk Light Tuna in Water - 2.6oz - Good & Gather™,73.7,1.19,70.0,114.2857,25.7143,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,314.2857,285.7143,1.0,14.2857,1.0
42,Chunk Light Tuna in Water - 5oz - Good & Gather™,141.7,1.59,113.0,88.4956,21.2389,0.885,0.0,0.0,39.823,0.0,0.0,0.0,0.0,318.5841,,,,
43,Colossal Easy Peel Tail On & Deveined Raw Shrimp - Frozen - 13-15ct/16oz - Good & Gather™,453.6,10.99,113.4,61.7284,14.1093,0.4409,0.0,0.0,110.2293,0.8818,0.0,0.0,0.0,423.2804,79.3651,0.0,26.455,0.1764
44,Dave's Killer Bread Organic 21 Whole Grains and Seeds Bread - 20.5oz,581.2,8.49,27.7,216.6065,10.8303,3.6101,0.0,0.0,0.0,50.5415,10.8303,10.8303,10.8303,379.0614,216.6065,0.0,72.2022,2.1661
45,Demi French Bread - 8oz - Favorite Day™,226.8,3.29,57.0,245.614,8.7719,1.7509,0.0,0.0,0.0,52.6316,1.807,1.7509,,508.7719,,,0.0,3.1579
46,Diced Tomatoes - 14.5oz - Good & Gather™,411.1,1.39,117.5,21.2766,0.8511,0.0,0.0,0.0,0.0,4.2553,0.8511,2.5532,0.0,153.1915,195.7447,0.0,0.0,0.0
47,Dry Chickpeas Garbanzo Beans - 1lb - Good & Gather™,453.6,1.99,34.9,286.533,20.0573,5.7307,0.0,0.0,0.0,63.0372,22.9226,2.8653,0.0,28.6533,859.5989,0.0,28.6533,4.8711
48,Dry Green Split Peas - 1LB - Good & Gather™,453.6,1.99,34.9,286.533,22.9226,2.8653,0.0,0.0,0.0,60.1719,20.0573,2.8653,0.0,0.0,716.3324,0.0,28.6533,4.0115
49,Dry Lentils - 1LB - Good & Gather™,453.6,1.99,34.9,286.533,22.9226,1.4327,0.0,0.0,0.0,65.9026,20.0573,0.0,0.0,28.6533,744.9857,0.0,28.6533,6.8768
50,Dynasty Jasmine Rice - 20lbs,9071.8,21.49,44.9,356.3474,6.6815,0.0,0.0,0.0,0.0,80.1782,2.2272,0.0,0.0,0.0,0.0,0.0,0.0,0.8909
51,Dynasty Jasmine Rice - 5lbs,2268.0,8.99,45.4,352.4229,6.6079,0.0,0.0,0.0,0.0,79.2952,2.2026,0.0,0.0,0.0,0.0,0.0,0.0,0.8811
52,Emmi Le Gruyere Cheese - 5.3oz,150.3,7.99,28.3,388.6926,28.2686,31.8021,17.6678,0.0,88.3392,0.0,0.0,0.0,0.0,600.7067,70.6714,1.0601,883.3922,0.3534
53,Enriched Long Grain White Rice - 32oz - Good & Gather™,907.2,2.59,45.4,352.4229,6.6079,0.0,0.0,0.0,0.0,79.2952,0.0,0.0,0.0,22.0264,66.0793,0.0,0.0,4.4053
54,FAGE Total 0% Milkfat Plain Greek Yogurt - 18g Protein 32oz,18.0,9.19,170.0,52.9412,10.5882,0.0,0.0,0.0,5.8824,2.9412,0.0,2.9412,0.0,38.2353,152.9412,0.0,117.6471,0.0
55,FAGE Total 2% Milkfat Plain Greek Yogurt - 17g Protein 32oz,17.0,9.19,170.0,70.5882,10.0,2.0588,1.4706,0.0,11.7647,2.9412,0.0,2.9412,0.0,32.3529,152.9412,0.0,117.6471,0.0
56,FAGE Total 5% Milkfat Plain Greek Yogurt - 15g Protein 32oz,15.0,9.19,170.0,94.1176,8.8235,5.2941,3.5294,0.0,17.6471,2.9412,0.0,2.9412,0.0,35.2941,152.9412,0.0,117.6471,0.0
57,Family Lungkow Vermicelli - 8oz/8pk,226.8,3.59,50.0,448.0,0.0,0.0,0.0,0.0,0.0,112.0,2.0,0.0,,6.0,,,,
58,Farm Raised Swai Fillets - Frozen - 24oz - Good & Gather™,680.4,8.89,113.4,79.3651,16.7549,0.8818,0.8818,0.0,48.5009,0.0,0.0,0.0,0.0,30.8642,308.642,0.0,8.8183,0.0
59,Food For Life Ezekiel 4:9 Organic Frozen Sprouted Grain Bread - 24oz,680.4,10.99,34.0,235.2941,11.7647,1.4706,0.0,0.0,0.0,44.1176,8.8235,0.0,0.0,220.5882,232.3529,0.0,26.4706,2.9412
61,Foster Farms Fresh & Natural USDA Chicken Breast Fillets - 2.1-4.6lbs - price per lb,2086.5,12.58,84.0,119.0476,22.619,2.381,0.6,0.0,30.0,1.1905,0.0,1.1905,,619.0476,,,0.0,0.8595
64,Foster Farms No Antibiotics Ever Chicken Drumsticks - 1.25-2.1lbs - price per lb,952.5,5.2,56.0,125.0,23.2143,1.7857,0.0,0.0,80.0,0.0,0.0,0.0,,410.7143,,,0.0,0.0
65,Foster Farms No Antibiotics Ever Chicken Thighs - 1.4-2.2lbs - price per lb,997.9,6.1,56.0,125.0,23.2143,1.7857,0.0,0.0,80.0,0.0,0.0,0.0,,410.7143,,,0.0,0.0
67,Four Cheese Tortellini - 17.6oz - Good & Gather™,499.0,5.19,62.4,400.641,14.4231,8.0128,2.4038,0.0,0.0,67.3077,3.2051,4.8077,0.0,625.0,224.359,0.0,304.4872,4.8077
68,Fresh 93% Lean Ground Beef - 3lb - Good & Gather™,1360.8,25.49,113.4,149.9118,20.2822,7.0547,2.6455,,57.3192,0.0,,,,61.7284,,,,
69,Fresh All Natural 85/15 Ground Beef - 2lbs - Good & Gather™,15.0,16.49,113.4,211.6402,18.5185,14.9912,6.1728,,66.1376,0.0,,,,66.1376,,,,
70,Fresh All Natural 93/7 Ground Beef - 1lb - Good & Gather™,7.0,8.99,113.4,149.9118,20.2822,7.0547,2.6455,,57.3192,0.0,,,,61.7284,,,,
71,Fresh All Natural 93/7 Ground Beef - 2lbs - Good & Gather™,7.0,16.99,113.4,149.9118,20.2822,7.0547,2.6455,,57.3192,0.0,,,,61.7284,,,,
74,Fresh All Natural Thin Slice Boneless & Skinless Chicken Breast - 1-3 lbs - price per lb - Good & Gather™,1360.8,20.97,100.0,102.0,23.7,0.7,0.23,0.0,60.5,0.3,,0.0,,30.0,,,0.0,0.0
75,Fresh Asparagus Spears - 12oz,340.2,6.69,83.0,23.9759,2.4096,0.0,0.0,0.0,0.0,3.6145,1.2,1.2,,6.0,120.0,,0.0,0.0
77,Fresh Baby Bok Choy - 1lb Bag,453.6,3.69,113.0,13.0088,1.7699,0.0,0.0,0.0,0.0,1.7699,0.9027,0.8796,0.0,66.0177,256.6372,,106.1947,0.8796
79,Fresh Boneless Diced Pork Sirloin - 1lb - Good & Gather™,453.6,4.99,113.4,132.2751,22.0459,3.9683,1.3228,,61.7284,0.0,,,,61.7284,,,,
80,Fresh Boneless Pork Shoulder Butt Roast - 2.48-5.00 lbs - price per lb - Good & Gather™,2268.0,29.95,112.0,188.3929,18.75,12.5,4.4643,0.0,70.9821,0.0,,,,58.0357,,,,0.9643
85,Fresh Ground Pork - 1lb - Good & Gather™,453.6,6.49,112.0,258.9286,18.75,19.6429,7.1429,,66.9643,0.0,,,,58.0357,,,,
86,Fresh Hawaiian Candy Apple Bananas - 3lb,1360.8,7.49,125.0,51.0,0.2,0.1,0.0176,,0.0,12.3,0.2,11.0,,4.0,123.0,0.0,7.0,0.2
89,Fresh Luau Leaves - 1lb,453.6,2.99,21.0,64.0,9.4,1.4,,0.0,0.0,8.281,2.0,,,9.0,337.0,0.0,185.0,4.0
91,Fresh Organic Air Chilled Chicken Breast Tenders - 1-1.7lbs - price per lb - Good & Gather™,771.1,14.09,85.0,263.0,14.7306,15.7494,3.26,,41.0,15.0094,1.1,0.3706,,536.0,214.0,0.2,19.0,1.1106
92,Fresh Organic Baby Shortcut Carrots - 1lb,453.6,2.39,85.0,41.1765,1.1765,0.0,0.0,0.0,0.0,9.4118,2.3529,5.8824,,76.4706,317.6471,,,
94,Fresh Organic Boneless & Skinless Air Chilled Thin Sliced Chicken Breasts - 1-2lbs - price per lb - Good & Gather™,907.2,16.58,100.0,102.0,23.7,0.7,0.23,0.0,60.5,0.3,,0.0,,30.0,,,0.0,0.0
95,Fresh Papaya - each,781.0,4.49,157.0,43.0,0.4701,0.2599,0.0809,0.0,0.0,10.8197,1.7,7.8197,,8.0,182.0,0.0,20.0,0.2503
96,Fresh Premium Maui Lemons - 2lbs,907.2,5.59,5.3,23.0,3.1509,0.6415,0.0377,0.0,0.0,2.6415,1.6038,0.3019,,4.0,295.0,0.0,177.0,3.1698
98,Fresh Red Onion - each,197.0,1.89,197.0,44.0,0.9401,0.1,,,,9.9299,2.2,,5.7599,1.0,197.0,,17.0,0.2401
99,Fresh Red Potatoes - 3lb Bag,1360.8,3.69,147.4,74.6269,2.0353,0.0,0.0,0.0,0.0,17.6391,1.3569,0.6784,0.0,0.0,420.6242,0.0,13.5685,0.7327
101,Fresh Russet Potato - each,173.0,0.89,173.0,95.0,2.6301,0.1301,0.0318,0.0,0.0,21.4399,2.3,1.0798,,14.0,550.0,0.0,18.0,1.0699
104,Fresh Sun Beams Mandarin Oranges - 3lbs - Good & Gather™,1360.8,7.49,88.0,53.0,0.8102,0.3102,0.0386,0.0,0.0,13.3398,1.8,10.5795,,2.0,166.0,0.0,37.0,0.15
105,Fresh Sweet Potato - each,16.0,2.69,35.0,42.0,2.4914,0.5086,0.1114,0.0,0.0,8.82,5.3,,,6.0,508.0,0.0,78.0,0.9686
106,Fresh USDA Choice Angus Beef Steak Strips - 14oz - Good & Gather™,396.9,12.99,113.4,167.5485,21.164,8.8183,3.5273,,70.5467,0.0,,,,52.9101,,,,
107,Fresh USDA Choice Angus Beef Steak for Sandwiches - 0.54-1.86 lbs - price per lb - Good & Gather™,843.7,18.58,112.0,160.7143,21.4286,8.0357,3.1161,,58.0357,0.0,0.0,0.0,,66.9643,,,0.0,2.4107
108,Fresh USDA Choice Angus Petite Sirloin Steak - 1.49-2.73 lbs - price per lb - Good & Gather™,1238.3,46.38,170.0,118.2353,18.8235,3.5294,1.4706,0.0,32.0,0.0,0.0,0.0,,188.2353,,,24.0,1.5882
109,Fresh Yellow Onions - 3lb Bag - Good & Gather™,1360.8,3.79,150.0,40.0,0.6667,,,,,9.3333,,,,7.0,133.3333,,,
110,Frozen Broccoli Cauliflower & Carrots Blend - 12oz - Good & Gather™,340.2,1.59,85.0,29.4118,2.3529,0.0,0.0,0.0,0.0,5.8824,2.3529,2.3529,0.0,35.2941,294.1176,0.0,35.2941,1.1765
111,Frozen Broccoli Florets - 12oz - Good & Gather™,340.2,1.79,85.0,35.2941,3.5294,0.0,0.0,0.0,0.0,4.7059,3.5294,2.3529,0.0,11.7647,341.1765,0.0,47.0588,0.7059
112,Frozen Cauliflower - 12oz - Good & Gather™,340.2,1.99,85.0,23.5294,2.3529,0.0,0.0,0.0,0.0,4.7059,2.3529,2.3529,0.0,29.4118,294.1176,0.0,23.5294,0.4706
113,Frozen Crinkle-Cut Carrots - 12oz - Good & Gather™,340.2,1.29,85.0,35.2941,1.1765,0.0,0.0,0.0,0.0,8.2353,3.5294,4.7059,0.0,70.5882,235.2941,0.0,35.2941,0.0
114,Frozen Cut Broccoli - 12oz - Good & Gather™,340.2,1.39,85.0,35.2941,3.5294,0.0,0.0,0.0,0.0,4.7059,3.5294,2.3529,0.0,11.7647,341.1765,0.0,47.0588,0.7059
115,Frozen Cut Green Beans 12oz - Good & Gather™,340.2,1.29,85.0,41.1765,2.3529,0.0,0.0,0.0,0.0,8.2353,3.5294,1.1765,0.0,11.7647,223.5294,0.0,47.0588,0.7059
116,Frozen Cut Leaf Spinach - 10oz - Good & Gather™,283.5,1.69,81.0,30.8642,2.4691,0.0,0.0,0.0,0.0,2.4691,2.4691,0.0,0.0,18.5185,234.5679,0.0,111.1111,1.2346
117,Frozen Dragon Fruit 12oz - Good & Gather™,340.2,6.69,136.1,146.9508,2.2043,0.0,0.0,0.0,0.0,32.3292,7.3475,19.8384,0.0,0.0,0.0,0.0,51.4328,0.8817
118,Frozen Gold & White Corn Blend 12oz - Good & Gather™,340.2,1.29,85.0,94.1176,3.5294,0.5882,0.0,0.0,0.0,23.5294,3.5294,7.0588,0.0,0.0,270.5882,0.0,0.0,0.0
119,Frozen Italian-Style Vegetable Blend - 12oz - Good & Gather™,340.2,1.99,85.0,35.2941,2.3529,0.0,0.0,0.0,0.0,7.0588,2.3529,3.5294,0.0,17.6471,282.3529,0.0,35.2941,0.5882
120,Frozen Mango Fruit Chunks - 12oz - Good & Gather™,340.2,2.99,138.0,144.9275,2.1739,1.087,0.0,0.0,0.0,36.9565,3.6232,33.3333,0.0,0.0,413.0435,0.0,28.9855,0.3623
122,Frozen Mixed Berries - 12oz - Good & Gather™,340.2,5.99,136.1,124.9082,2.2043,1.1021,0.0,0.0,0.0,30.8597,10.2866,17.6341,0.0,0.0,308.5966,0.0,51.4328,1.543
123,Frozen Mixed Vegetables - 12oz - Good & Gather™,340.2,1.39,85.0,58.8235,2.3529,0.0,0.0,0.0,0.0,12.9412,3.5294,3.5294,0.0,17.6471,220.0,0.0,27.0588,1.1765
124,Frozen Mixed Vegetables - 28oz - Good & Gather™,793.8,3.39,88.2,56.6893,2.2676,0.0,0.0,0.0,0.0,12.4717,3.4014,3.4014,0.0,17.0068,215.4195,0.0,22.6757,1.1338
125,Frozen Organic Edamame - 10oz - Good & Gather™,283.5,3.89,81.0,123.4568,12.3457,5.5556,0.6173,0.0,0.0,9.8765,4.9383,2.4691,0.0,6.1728,456.7901,0.0,61.7284,2.4691
126,Frozen Organic Spinach - 10oz - Good & Gather™,283.5,2.59,81.0,30.8642,2.4691,0.0,0.0,0.0,0.0,2.4691,2.4691,0.0,0.0,18.5185,271.6049,0.0,111.1111,1.2346
127,Frozen Petite Whole Green Beans 12oz - Good & Gather™,340.2,2.89,85.0,41.1765,2.3529,0.0,0.0,0.0,0.0,8.2353,3.5294,1.1765,0.0,11.7647,223.5294,0.0,47.0588,0.7059
128,Frozen Red Raspberries - 12oz - Good & Gather™,340.2,5.19,136.1,132.2557,2.939,1.4695,0.0,0.0,0.0,29.3902,16.1646,11.0213,0.0,0.0,367.3769,0.0,58.7803,1.6899
129,Frozen Regular Cut Green Beans - 28oz - Good & Gather™,793.8,2.99,88.2,39.6825,2.2676,0.0,0.0,0.0,0.0,7.9365,3.4014,1.1338,0.0,11.3379,215.4195,0.0,45.3515,0.6803
130,Frozen Roasted Sweet Potato Chunks - 12oz - Good & Gather™,340.2,2.59,85.0,105.8824,1.1765,1.7647,0.0,0.0,0.0,22.3529,3.5294,3.5294,0.0,100.0,352.9412,0.0,35.2941,0.8235
131,Frozen Sliced Strawberries - 16oz - Good & Gather™,453.6,4.89,138.0,36.2319,0.7246,0.0,0.0,0.0,0.0,9.4203,2.1739,4.3478,0.0,0.0,144.9275,0.0,14.4928,0.7246
132,Frozen Steam-in-bag Edamame - 12oz - Good & Gather™,340.2,2.89,85.0,105.8824,11.7647,4.7059,0.0,0.0,0.0,7.0588,4.7059,2.3529,0.0,5.8824,482.3529,0.0,58.8235,2.3529
133,Frozen Steam-in-bag Mukimame - 12oz - Good & Gather™,340.2,2.99,85.0,141.1765,11.7647,5.8824,1.1765,0.0,0.0,10.5882,3.5294,2.3529,0.0,11.7647,541.1765,0.0,117.6471,2.3529
134,Frozen Stir Fry Vegetable Blend - 12oz - Good & Gather™,340.2,2.59,85.0,47.0588,2.3529,0.0,0.0,0.0,0.0,9.4118,3.5294,3.5294,0.0,17.6471,258.8235,0.0,35.2941,0.7059
135,Frozen Street Corn - 10oz - Good & Gather™,283.5,5.29,81.0,123.4568,3.7037,3.7037,1.2346,0.0,12.3457,16.0494,2.4691,2.4691,0.0,308.642,209.8765,0.0,37.037,0.4938
136,Frozen Sweet Peas - 28oz - Good & Gather™,793.8,2.79,88.2,79.3651,5.6689,0.0,0.0,0.0,0.0,13.6054,5.6689,5.6689,0.0,0.0,238.0952,0.0,22.6757,1.1338
137,Frozen Sweet Peas 12oz - Good & Gather™,340.2,1.29,85.0,82.3529,5.8824,0.0,0.0,0.0,0.0,14.1176,5.8824,5.8824,0.0,0.0,247.0588,0.0,23.5294,1.1765
138,Frozen Sweet Peas - 28oz - Good & Gather™,793.8,2.79,88.2,79.3651,5.6689,0.0,0.0,0.0,0.0,13.6054,5.6689,5.6689,0.0,0.0,238.0952,0.0,22.6757,1.1338
139,Frozen Whole Kernel Corn - 28oz - Good & Gather™,793.8,2.99,88.2,79.3651,2.2676,0.5669,0.0,0.0,0.0,19.2744,2.2676,3.4014,0.0,0.0,238.0952,0.0,0.0,0.0
140,Frozen Whole Kernel Yellow Corn - 12oz - Good & Gather™,340.2,1.29,85.0,82.3529,2.3529,0.5882,0.0,0.0,0.0,20.0,2.3529,3.5294,0.0,0.0,247.0588,0.0,0.0,0.0
141,Garlic Frozen Bread - 10oz - Market Pantry™,283.5,2.99,47.0,340.4255,8.5106,14.8936,3.1915,0.0,0.0,44.6809,2.1277,2.1277,0.0,574.4681,85.1064,0.2128,21.2766,2.9787
142,Gluten Free Spaghetti - 12oz - Good & Gather™,340.2,2.99,56.7,352.7337,5.291,1.7637,0.0,0.0,0.0,79.3651,1.7637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Good Culture 2% Milkfat Simply Cottage Cheese - 16oz,453.6,5.99,110.0,72.7273,12.7273,2.2727,1.3636,0.0,13.6364,2.7273,0.0,2.7273,0.0,309.0909,72.7273,0.0,63.6364,0.0
145,Hinode Medium Grain Calrose Brown Rice - 5lbs,2268.0,6.49,48.3,351.9669,6.2112,2.0704,0.0,0.0,0.0,76.6046,4.1408,0.0,,0.0,,,,
146,Hinode Medium Grain Calrose White Rice - 20lbs,9071.8,17.99,49.0,367.3469,6.1224,0.0,0.0,0.0,0.0,79.5918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8163
147,Hinode Medium Grain Calrose White Rice - 5lbs,2268.0,6.49,49.3,365.1116,6.0852,0.0,0.0,0.0,0.0,79.1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8114
148,Izzio Artisan Bakery San Francisco Style Sourdough Sliced Batard Bread - 24oz,680.4,5.39,56.7,211.6402,7.0547,0.0,0.0,0.0,0.0,44.0917,1.7637,0.0,0.0,423.2804,91.7108,0.0,52.9101,0.0
149,Izzio Artisan Bakery San Francisco Style Sourdough Sliced Boule Bread - 24oz,680.4,5.39,56.7,211.6402,7.0547,0.0,0.0,0.0,0.0,44.0917,1.7637,0.0,0.0,423.2804,91.7108,0.0,52.9101,0.0
150,JFC Nishiki Medium Grain Brown Rice - 5lb,2268.0,12.79,39.1,358.0563,7.6726,2.5575,0.0,,,74.1688,2.5575,,,0.0,,,,
151,JFC Tamanishik Short Grain White Rice - 4.4lbs,1995.8,11.99,41.6,360.5769,4.8077,,,,0.0,81.7308,,,,0.0,,,,
